n,projet,nom,type,secteur,pays,responsable,annee,initiative,nature_appui,montant_appui,telephone,email
105,P14,Fonds Haïtien Pour le Développement Durable,,"Agriculture, agroalimentaire et pêche / Accès aux financements et entrepreneuriat féminin",Haïti,,2025,Plante lespwa ak lapè nan kè jèn fanm nan komin ti rivyè nip (planter l’espoir et la paix dans le cœur des jeunes femmes de petite rivière de Nippes),,96956,,
106,P14,"Organisation des Planteurs de Lamonge, André et Verrette",,"Agriculture, agroalimentaire et pêche / Accès aux financements et entrepreneuriat féminin",Haïti,,2025,Insertion et appui à l’entreprenariat des femmes rurales de la commune de Torbeck,,78328,,
107,P14,Fédération des Associations des Aveugles de Madagascar,,"Agriculture, agroalimentaire et pêche",Madagascar,,2025,"LAFATRA : Lombriculture, pour l'Autonomisation des Femmes Aveugles et TRansformation vers l'Agriculture durable",,78931.2,,
108,P14,ONG Action pour le Développement et la Protection de la Famille,,,Côte d'Ivoire,,2025,"Projet d'autonomisation et d'adaptation au changement climatique de la coopérative féminine de production maraîchère du village de Nondjoni, sous-préfecture de Dianra",,69099,,
109,P14,Action des Leaders pour le Développement des Communautés à la base,,,Togo,,2025,Renforcement de l’Autonomie des Femmes d’Avédjé à travers l’Élevage Durable (RAFAED),,28663,,
110,P14,Coopérative des Artisanes Couturières Abikè Fashion House,,,Bénin,,2025,"Ifè : Mise en place d’un Programme d’Accompagnement de coopératives créées par des femmes artisanes exerçant  dans les métiers de création de textile durable (tisserand, teinturier écologique) et de la mode (haute couture) et d'une application « AVO » pour simplifier les tâches administratives, comptables, la formation et la recherche de clients",,68000,,
111,P14,ONG Innovation Fait La Jeunesse,,,Bénin,,2025,Projet « Foyers améliorés GNONNÙ-DANÙ » :  Promotion des foyers améliorés et du charbon écologique pour l’autonomisation économique des femmes de Covè et Zagnanado,,75182,,
112,P14,Association pour la formation et le développement de l'esprit d'entreprise,,,Moldavie,,2025,#BizElle – Femmes en affaires à impact. Programme de développement entrepreneurial pour les femmes de Moldavie,,100000,,
113,P14,Appui aux Initiatives Locales,,,Togo,,2025,ÉcoFemmes  - Agriculture bio et énergie verte,,79815,,
114,P14,Fédération des acteurs de développement social et économique de l'île de Moheli,,,Comores,,2025,Promotion de l’aquaculture durable pour la production des crevettes aux Comores,,78860,,
115,P14,Fair World Builders,,,Haïti,,2025,Agricultrice et développement rural : cultiver l'autonomie des Femmes de Plaine du Nord par l'agriculture régénératrice des cultures maraichères,,63286,,
